team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin
Georgia,19-Nov,11,19,36.7,2167,72.2,2227,74.2,747,1670,44.7,202,612,33,471,658,71.6,174,5.8,410,473,0.87,145,4.8,1143,38.1,1042,34.7,3.4
Furman,24-6,24,6,80,2345,78.2,1966,65.5,850,1789,47.5,308,849,36.3,337,471,71.5,265,8.8,477,375,1.27,126,4.2,1083,36.1,1023,34.1,2
Yale,19-7,19,7,73.1,2092,80.5,1902,73.2,774,1565,49.5,205,552,37.1,339,474,71.5,153,5.9,452,361,1.25,117,4.5,1021,39.3,890,34.2,5
Northern Colo.,21-9,21,9,70,2308,76.9,2057,68.6,801,1726,46.4,287,791,36.3,419,586,71.5,163,5.4,397,368,1.08,89,3,1064,35.5,962,32.1,3.4
UC Davis,18-Nov,11,18,37.9,1897,65.4,1982,68.3,674,1555,43.3,193,587,32.9,356,498,71.5,184,6.3,348,387,0.9,65,2.2,875,30.2,1006,34.7,-4.5
UC Santa Barbara,20-9,20,9,69,2129,73.4,1900,65.5,748,1648,45.4,187,550,34,446,624,71.5,147,5.1,405,324,1.25,96,3.3,1097,37.8,900,31,6.8
Appalachian St.,19-Nov,11,19,36.7,2406,80.2,2372,79.1,830,1822,45.6,270,753,35.9,476,667,71.4,161,5.4,380,396,0.96,81,2.7,1065,35.5,1121,37.4,-1.9
McNeese,21-Sep,9,21,30,2091,69.7,2220,74,738,1620,45.6,164,526,31.2,451,632,71.4,143,4.8,417,439,0.95,93,3.1,1021,34,984,32.8,1.2
Morgan St.,20-Sep,9,20,31,2088,72,2223,76.7,732,1845,39.7,161,503,32,463,649,71.3,217,7.5,347,395,0.88,48,1.7,1047,36.1,1160,40,-3.9
Seton Hall,17-12,17,12,58.6,2135,73.6,2072,71.4,763,1713,44.5,196,616,31.8,413,579,71.3,204,7,393,376,1.05,119,4.1,1028,35.4,1046,36.1,-0.6
Navy,18-Dec,12,18,40,1991,66.4,2170,72.3,706,1724,41,201,633,31.8,378,530,71.3,162,5.4,386,424,0.91,57,1.9,1128,37.6,1020,34,3.6
Abilene Christian,24-6,24,6,80,2231,74.4,1904,63.5,799,1691,47.3,223,579,38.5,410,575,71.3,257,8.6,470,365,1.29,84,2.8,995,33.2,953,31.8,1.4
Bryant,20-Oct,10,20,33.3,2088,69.6,2314,77.1,709,1681,42.2,230,708,32.5,440,618,71.2,158,5.3,319,385,0.83,78,2.6,969,32.3,1082,36.1,-3.8
Eastern Ky.,13-18,13,18,41.9,2562,82.6,2577,83.1,902,2125,42.4,272,832,32.7,486,683,71.2,317,10.2,458,447,1.02,101,3.3,1167,37.6,1288,41.5,-3.9
NC State,20-10,20,10,66.7,2439,81.3,2138,71.3,893,1929,46.3,251,694,36.2,402,565,71.2,228,7.6,469,390,1.2,113,3.8,1145,38.2,1020,34,4.2
Seattle U,17-13,17,13,56.7,2194,73.1,2050,68.3,770,1753,43.9,220,582,37.8,434,610,71.1,131,4.4,358,375,0.95,109,3.6,1094,36.5,999,33.3,3.2
USC Upstate,26-Jun,6,26,18.8,2169,67.8,2395,74.8,775,1872,41.4,269,817,32.9,350,492,71.1,207,6.5,434,440,0.99,94,2.9,1051,32.8,1199,37.5,-4.6
Houston,28-2,28,2,93.3,2284,76.1,1841,61.4,800,1777,45,278,773,36,406,571,71.1,199,6.6,456,346,1.32,131,4.4,1223,40.8,992,33.1,7.7
Southeastern La.,16-14,16,14,53.3,2016,67.2,2025,67.5,695,1581,44,211,627,33.7,415,584,71.1,201,6.7,414,492,0.84,74,2.5,1011,33.7,931,31,2.7
Wichita St.,16-13,16,13,55.2,2035,70.2,2007,69.2,732,1795,40.8,220,699,31.5,351,494,71.1,134,4.6,399,351,1.14,99,3.4,1095,37.8,1018,35.1,2.7
Texas,16-14,16,14,53.3,2151,71.7,2010,67,759,1733,43.8,260,755,34.4,373,525,71,180,6,389,334,1.16,123,4.1,1025,34.2,1031,34.4,-0.2
Saint Francis (PA),17-13,17,13,56.7,2297,76.6,2270,75.7,808,1853,43.6,232,671,34.6,449,632,71,208,6.9,382,374,1.02,87,2.9,1139,38,1041,34.7,3.3
Loyola Maryland,21-Nov,11,21,34.4,2332,72.9,2477,77.4,842,1836,45.9,210,616,34.1,438,617,71,278,8.7,448,444,1.01,73,2.3,996,31.1,1069,33.4,-2.3
Gardner-Webb,22-11,22,11,66.7,2586,78.4,2332,70.7,908,1864,48.7,267,679,39.3,503,709,70.9,230,7,479,383,1.25,98,3,1134,34.4,1163,35.2,-0.9
Cincinnati,25-5,25,5,83.3,2152,71.7,1836,61.2,747,1728,43.2,199,573,34.7,459,647,70.9,198,6.6,412,320,1.29,136,4.5,1087,36.2,919,30.6,5.6
Memphis,18-12,18,12,60,2455,81.8,2294,76.5,865,1877,46.1,225,674,33.4,500,705,70.9,241,8,472,459,1.03,113,3.8,1131,37.7,1065,35.5,2.2
Green Bay,17-15,17,15,53.1,2599,81.2,2567,80.2,923,2032,45.4,250,739,33.8,503,710,70.8,254,7.9,473,403,1.17,127,4,1162,36.3,1278,39.9,-3.6
Austin Peay,22-11,22,11,66.7,2712,82.2,2413,73.1,973,2060,47.2,268,702,38.2,498,705,70.6,252,7.6,454,392,1.16,110,3.3,1223,37.1,1138,34.5,2.6
Brown,19-10,19,10,65.5,2158,74.4,1987,68.5,742,1665,44.6,225,666,33.8,449,636,70.6,222,7.7,380,405,0.94,112,3.9,1061,36.6,1053,36.3,0.3
LIU Brooklyn,16-15,16,15,51.6,2309,74.5,2265,73.1,800,1819,44,264,779,33.9,445,631,70.5,216,7,417,461,0.9,151,4.9,1160,37.4,1151,37.1,0.3
Portland St.,15-15,15,15,50,2320,77.3,2243,74.8,802,1879,42.7,221,708,31.2,495,702,70.5,251,8.4,409,423,0.97,120,4,1191,39.7,987,32.9,6.8
Morehead St.,13-20,13,20,39.4,2431,73.7,2543,77.1,855,1993,42.9,260,762,34.1,461,654,70.5,186,5.6,441,402,1.1,137,4.2,1175,35.6,1236,37.5,-1.8
Wofford,26-4,26,4,86.7,2489,83,1963,65.4,904,1849,48.9,335,802,41.8,346,491,70.5,208,6.9,464,321,1.45,89,3,1055,35.2,862,28.7,6.4
Utah,16-13,16,13,55.2,2197,75.8,2164,74.6,756,1614,46.8,279,745,37.4,406,577,70.4,136,4.7,417,392,1.06,76,2.6,1021,35.2,926,31.9,3.3
Ball St.,15-16,15,16,48.4,2331,75.2,2220,71.6,834,1776,47,189,578,32.7,474,674,70.3,209,6.7,395,448,0.88,113,3.6,1167,37.6,1104,35.6,2
SIUE,21-Oct,10,21,32.3,2265,73.1,2520,81.3,794,1898,41.8,201,665,30.2,476,677,70.3,198,6.4,382,438,0.87,70,2.3,1082,34.9,1162,37.5,-2.6
Southern Utah,14-15,14,15,48.3,2188,75.4,2202,75.9,760,1720,44.2,231,695,33.2,437,622,70.3,172,5.9,364,394,0.92,99,3.4,1061,36.6,1072,37,-0.4
IUPUI,16-16,16,16,50,2434,76.1,2349,73.4,862,1905,45.2,226,668,33.8,484,690,70.1,223,7,460,444,1.04,103,3.2,1192,37.3,1042,32.6,4.7
Akron,16-15,16,15,51.6,2145,69.2,1974,63.7,756,1838,41.1,276,874,31.6,357,509,70.1,175,5.6,379,362,1.05,96,3.1,1135,36.6,1197,38.6,-2
Auburn,21-9,21,9,70,2398,79.9,2043,68.1,831,1853,44.8,330,881,37.5,406,579,70.1,273,9.1,440,385,1.14,148,4.9,1069,35.6,1055,35.2,0.5
Youngstown St.,20-Dec,12,20,37.5,2415,75.5,2526,78.9,879,2057,42.7,303,891,34,354,505,70.1,210,6.6,449,423,1.06,115,3.6,1207,37.7,1138,35.6,2.2
Tennessee St.,21-Sep,9,21,30,2182,72.7,2332,77.7,751,1739,43.2,240,716,33.5,440,628,70.1,219,7.3,342,497,0.69,78,2.6,1032,34.4,1034,34.5,-0.1
Nebraska,15-15,15,15,50,2142,71.4,1978,65.9,758,1778,42.6,226,671,33.7,400,571,70.1,212,7.1,385,291,1.32,125,4.2,1074,35.8,1149,38.3,-2.5
Washington,24-6,24,6,80,2135,71.2,1930,64.3,751,1630,46.1,226,639,35.4,407,581,70.1,267,8.9,354,402,0.88,179,6,965,32.2,1009,33.6,-1.5
Cal St. Fullerton,14-15,14,15,48.3,2117,73,2056,70.9,757,1651,45.9,164,507,32.3,439,627,70,172,5.9,365,391,0.93,98,3.4,1068,36.8,1034,35.7,1.2
UMKC,20-Oct,10,20,33.3,2080,69.3,2209,73.6,724,1675,43.2,243,673,36.1,389,556,70,220,7.3,334,371,0.9,85,2.8,908,30.3,1098,36.6,-6.3
Purdue Fort Wayne,17-14,17,14,54.8,2572,83,2425,78.2,934,1944,48,336,892,37.7,368,526,70,228,7.4,497,371,1.34,142,4.6,1070,34.5,1118,36.1,-1.5
Valparaiso,15-18,15,18,45.5,2205,66.8,2187,66.3,802,1783,45,185,585,31.6,416,595,69.9,202,6.1,431,436,0.99,101,3.1,1113,33.7,1083,32.8,0.9
VCU,25-6,25,6,80.6,2216,71.5,1896,61.2,778,1753,44.4,222,725,30.6,438,627,69.9,249,8,432,435,0.99,137,4.4,1140,36.8,1099,35.5,1.3
New Mexico,13-16,13,16,44.8,2201,75.9,2207,76.1,737,1728,42.7,266,764,34.8,461,660,69.8,195,6.7,400,423,0.95,106,3.7,1088,37.5,1081,37.3,0.2
Northern Ariz.,20-Sep,9,20,31,2113,72.9,2252,77.7,736,1702,43.2,239,700,34.1,402,576,69.8,184,6.3,358,344,1.04,63,2.2,981,33.8,1056,36.4,-2.6
American,15-15,15,15,50,2161,72,2070,69,780,1644,47.4,190,583,32.6,411,589,69.8,221,7.4,402,386,1.04,131,4.4,1014,33.8,998,33.3,0.5
Columbia,17-Oct,10,17,37,1978,73.3,1969,72.9,751,1657,45.3,227,627,36.2,249,357,69.7,208,7.7,433,350,1.24,76,2.8,955,35.4,958,35.5,-0.1
Illinois,19-Nov,11,19,36.7,2206,73.5,2259,75.3,790,1834,43.1,241,702,34.3,385,552,69.7,224,7.5,401,393,1.02,79,2.6,985,32.8,1098,36.6,-3.8
Robert Morris,17-15,17,15,53.1,2218,69.3,2171,67.8,775,1790,43.3,249,704,35.4,419,601,69.7,231,7.2,443,475,0.93,83,2.6,1079,33.7,1059,33.1,0.6
North Dakota,17-Dec,12,17,41.4,2144,73.9,2115,72.9,793,1713,46.3,234,628,37.3,324,465,69.7,169,5.8,390,374,1.04,84,2.9,979,33.8,1013,34.9,-1.2
Kansas,22-8,22,8,73.3,2266,75.5,2104,70.1,818,1760,46.5,226,637,35.5,404,580,69.7,204,6.8,402,403,1,110,3.7,1126,37.5,1064,35.5,2.1
UNC Greensboro,26-5,26,5,83.9,2384,76.9,2086,67.3,873,1895,46.1,244,710,34.4,394,566,69.6,278,9,409,367,1.11,122,3.9,1079,34.8,1051,33.9,0.9
Colorado St.,18-Dec,12,18,40,2276,75.9,2275,75.8,820,1706,48.1,245,674,36.4,391,562,69.6,184,6.1,445,349,1.28,74,2.5,1023,34.1,1025,34.2,-0.1
Pittsburgh,18-Dec,12,18,40,2111,70.4,2071,69,703,1673,42,202,621,32.5,503,723,69.6,207,6.9,356,414,0.86,115,3.8,1097,36.6,1104,36.8,-0.2
Texas A&M,13-16,13,16,44.8,2049,70.7,2073,71.5,732,1682,43.5,184,611,30.1,401,577,69.5,187,6.4,350,408,0.86,137,4.7,1106,38.1,1057,36.4,1.7
Kennesaw St.,26-Jun,6,26,18.8,2030,63.4,2455,76.7,742,1945,38.1,136,438,31.1,410,590,69.5,185,5.8,362,437,0.83,106,3.3,1163,36.3,1223,38.2,-1.9
Penn St.,13-17,13,17,43.3,2085,69.5,2063,68.8,737,1770,41.6,209,649,32.2,402,579,69.4,229,7.6,358,374,0.96,116,3.9,1096,36.5,1031,34.4,2.2
Boston College,14-15,14,15,48.3,2079,71.7,2103,72.5,731,1689,43.3,209,643,32.5,408,588,69.4,150,5.2,362,358,1.01,94,3.2,1068,36.8,1100,37.9,-1.1
Michigan,26-4,26,4,86.7,2120,70.7,1749,58.3,770,1708,45.1,238,679,35.1,342,493,69.4,182,6.1,403,275,1.47,127,4.2,1059,35.3,1030,34.3,1
Georgia Tech,14-17,14,17,45.2,2020,65.2,2052,66.2,724,1654,43.8,169,553,30.6,403,581,69.4,217,7,417,453,0.92,161,5.2,1043,33.6,1116,36,-2.4
A&M-Corpus Christi,13-17,13,17,43.3,1997,66.6,1982,66.1,724,1692,42.8,190,579,32.8,359,518,69.3,190,6.3,397,428,0.93,88,2.9,1088,36.3,971,32.4,3.9
Harvard,16-10,16,10,61.5,1840,70.8,1792,68.9,658,1431,46,226,600,37.7,298,430,69.3,148,5.7,323,417,0.77,103,4,941,36.2,827,31.8,4.4
Oral Roberts,20-Nov,11,20,35.5,2241,72.3,2397,77.3,830,1817,45.7,256,710,36.1,325,469,69.3,146,4.7,418,435,0.96,106,3.4,1113,35.9,1026,33.1,2.8
Fairfield,22-Sep,9,22,29,2072,66.8,2167,69.9,761,1755,43.4,259,740,35,291,420,69.3,202,6.5,401,436,0.92,63,2,968,31.2,1065,34.4,-3.1
Western Mich.,23-Aug,8,23,25.8,2179,70.3,2358,76.1,749,1747,42.9,221,692,31.9,460,664,69.3,147,4.7,358,478,0.75,76,2.5,1144,36.9,1089,35.1,1.8
Duquesne,19-11,19,11,63.3,2198,73.3,2144,71.5,754,1768,42.6,255,791,32.2,435,628,69.3,244,8.1,416,433,0.96,145,4.8,1068,35.6,1150,38.3,-2.7
Towson,21-Oct,10,21,32.3,2097,67.6,2220,71.6,782,1811,43.2,177,538,32.9,356,514,69.3,149,4.8,309,373,0.83,92,3,1153,37.2,999,32.2,5
Elon,20-Nov,11,20,35.5,2180,70.3,2352,75.9,780,1789,43.6,325,917,35.4,295,426,69.2,129,4.2,454,402,1.13,56,1.8,1045,33.7,1133,36.5,-2.8
Buffalo,28-3,28,3,90.3,2634,85,2198,70.9,943,2036,46.3,298,876,34,450,650,69.2,231,7.5,532,374,1.42,122,3.9,1260,40.6,1147,37,3.6
Missouri St.,16-16,16,16,50,2206,68.9,2157,67.4,774,1714,45.2,224,649,34.5,434,627,69.2,221,6.9,354,385,0.92,127,4,1000,31.3,1013,31.7,-0.4
Missouri,14-15,14,15,48.3,1940,66.9,1953,67.3,688,1607,42.8,238,669,35.6,326,471,69.2,136,4.7,325,413,0.79,49,1.7,1031,35.6,916,31.6,4
North Florida,16-17,16,17,48.5,2485,75.3,2531,76.7,902,2014,44.8,308,897,34.3,373,539,69.2,212,6.4,520,536,0.97,165,5,1252,37.9,1262,38.2,-0.3
Stetson,24-Jul,7,24,22.6,2151,69.4,2429,78.4,794,1962,40.5,215,684,31.4,348,503,69.2,210,6.8,418,397,1.05,94,3,1110,35.8,1212,39.1,-3.3
Canisius,15-16,15,16,48.4,2191,70.7,2303,74.3,776,1776,43.7,253,771,32.8,386,558,69.2,196,6.3,456,401,1.14,103,3.3,986,31.8,1109,35.8,-4
Long Beach St.,14-18,14,18,43.8,2410,75.3,2443,76.3,828,1918,43.2,210,601,34.9,544,787,69.1,200,6.3,386,457,0.84,100,3.1,1199,37.5,1253,39.2,-1.7
Tulsa,18-12,18,12,60,2168,72.3,2131,71,731,1604,45.6,207,599,34.6,499,722,69.1,161,5.4,399,381,1.05,69,2.3,1041,34.7,1107,36.9,-2.2
UC Riverside,22-Sep,9,22,29,2038,65.7,2146,69.2,748,1682,44.5,263,701,37.5,279,404,69.1,157,5.1,404,398,1.02,55,1.8,989,31.9,965,31.1,0.8
Creighton,17-13,17,13,56.7,2368,78.9,2221,74,848,1760,48.2,324,828,39.1,348,504,69,201,6.7,476,399,1.19,76,2.5,1034,34.5,1025,34.2,0.3
TCU,18-12,18,12,60,2242,74.7,2121,70.7,809,1778,45.5,230,666,34.5,394,571,69,216,7.2,490,405,1.21,129,4.3,1087,36.2,1028,34.3,2
UTRGV,18-15,18,15,54.5,2318,70.2,2307,69.9,784,1905,41.2,174,556,31.3,576,835,69,313,9.5,444,425,1.04,92,2.8,1103,33.4,1288,39,-5.6
Bradley,18-14,18,14,56.3,2154,67.3,2104,65.8,749,1709,43.8,218,592,36.8,438,635,69,181,5.7,389,409,0.95,116,3.6,1092,34.1,1061,33.2,1
Xavier,16-14,16,14,53.3,2161,72,2130,71,781,1667,46.9,211,626,33.7,388,563,68.9,167,5.6,434,412,1.05,113,3.8,1081,36,964,32.1,3.9
Duke,26-4,26,4,86.7,2538,84.6,2010,67,925,1926,48,225,729,30.9,463,672,68.9,289,9.6,484,391,1.24,209,7,1256,41.9,1060,35.3,6.5
Southeast Mo. St.,21-Oct,10,21,32.3,2216,71.5,2378,76.7,796,1809,44,266,719,37,358,520,68.8,182,5.9,402,447,0.9,75,2.4,1081,34.9,1135,36.6,-1.7
Eastern Ill.,14-18,14,18,43.8,2299,71.8,2457,76.8,826,1912,43.2,272,735,37,375,545,68.8,200,6.3,434,427,1.02,120,3.8,1147,35.8,1186,37.1,-1.2
Oklahoma,19-11,19,11,63.3,2153,71.8,2043,68.1,780,1749,44.6,203,590,34.4,390,567,68.8,178,5.9,385,370,1.04,98,3.3,1136,37.9,1107,36.9,1
Dayton,20-10,20,10,66.7,2200,73.3,1974,65.8,821,1629,50.4,186,559,33.3,372,541,68.8,152,5.1,494,373,1.32,72,2.4,1047,34.9,963,32.1,2.8
Massachusetts,19-Nov,11,19,36.7,2124,70.8,2192,73.1,757,1712,44.2,237,678,35,373,543,68.7,149,5,449,412,1.09,83,2.8,1047,34.9,959,32,2.9
Chattanooga,19-Dec,12,19,38.7,2204,71.1,2308,74.5,811,1830,44.3,280,776,36.1,302,440,68.6,134,4.3,405,393,1.03,77,2.5,1062,34.3,1122,36.2,-1.9
UC Irvine,26-5,26,5,83.9,2235,72.1,1967,63.5,825,1815,45.5,211,586,36,374,545,68.6,178,5.7,413,379,1.09,133,4.3,1255,40.5,1023,33,7.5
Oklahoma St.,19-Nov,11,19,36.7,2023,67.4,2138,71.3,703,1674,42,261,700,37.3,356,519,68.6,168,5.6,391,371,1.05,121,4,1030,34.3,1078,35.9,-1.6
Tulane,25-Apr,4,25,13.8,1935,66.7,2238,77.2,678,1658,40.9,199,630,31.6,380,554,68.6,136,4.7,414,443,0.93,101,3.5,1063,36.7,1119,38.6,-1.9
Mercer,19-Nov,11,19,36.7,2174,72.5,2161,72,759,1691,44.9,224,647,34.6,432,630,68.6,197,6.6,382,393,0.97,80,2.7,1031,34.4,1060,35.3,-1
New Orleans,17-12,17,12,58.6,2080,71.7,2005,69.1,754,1697,44.4,162,491,33,410,598,68.6,265,9.1,437,461,0.95,124,4.3,1026,35.4,1034,35.7,-0.3
Southern Ill.,17-15,17,15,53.1,2194,68.6,2144,67,802,1720,46.6,213,570,37.4,377,550,68.5,212,6.6,438,448,0.98,129,4,1080,33.8,1047,32.7,1
Lamar University,18-12,18,12,60,2361,78.7,2109,70.3,815,1790,45.5,206,604,34.1,525,766,68.5,266,8.9,439,440,1,91,3,1159,38.6,962,32.1,6.6
George Washington,22-Aug,8,22,26.7,1907,63.6,2150,71.7,679,1664,40.8,181,574,31.5,368,537,68.5,150,5,336,385,0.87,85,2.8,1008,33.6,1119,37.3,-3.7
Ga. Southern,20-10,20,10,66.7,2502,83.4,2265,75.5,926,1833,50.5,189,570,33.2,461,673,68.5,239,8,376,413,0.91,116,3.9,1077,35.9,1045,34.8,1.1
Marist,19-Dec,12,19,38.7,2086,67.3,2147,69.3,739,1647,44.9,245,675,36.3,363,530,68.5,172,5.5,377,388,0.97,53,1.7,967,31.2,1015,32.7,-1.5
Hawaii,17-12,17,12,58.6,2104,72.6,2004,69.1,738,1630,45.3,252,704,35.8,376,549,68.5,151,5.2,452,341,1.33,61,2.1,976,33.7,948,32.7,1
Monmouth,20-Dec,12,20,37.5,2055,64.2,2258,70.6,710,1744,40.7,153,518,29.5,482,704,68.5,219,6.8,349,468,0.75,94,2.9,1120,35,1130,35.3,-0.3
Providence,16-14,16,14,53.3,2131,71,2090,69.7,735,1757,41.8,195,605,32.2,466,681,68.4,221,7.4,431,389,1.11,116,3.9,1102,36.7,1070,35.7,1.1
Boston U.,15-18,15,18,45.5,2385,72.3,2387,72.3,922,1923,47.9,221,639,34.6,320,468,68.4,199,6,447,424,1.05,73,2.2,1091,33.1,1028,31.2,1.9
Army West Point,13-19,13,19,40.6,2268,70.9,2305,72,837,1956,42.8,272,863,31.5,322,471,68.4,198,6.2,499,376,1.33,50,1.6,1125,35.2,1174,36.7,-1.5
Sacramento St.,14-14,14,14,50,1984,70.9,1930,68.9,729,1636,44.6,148,463,32,378,553,68.4,215,7.7,388,357,1.09,92,3.3,968,34.6,961,34.3,0.3
SFA,14-15,14,15,48.3,2048,70.6,2093,72.2,727,1647,44.1,188,563,33.4,406,594,68.4,188,6.5,338,431,0.78,109,3.8,980,33.8,1008,34.8,-1
UNLV,16-13,16,13,55.2,2156,74.3,2119,73.1,747,1737,43,239,702,34,423,619,68.3,178,6.1,376,383,0.98,109,3.8,1123,38.7,969,33.4,5.3
Cleveland St.,21-Oct,10,21,32.3,2300,74.2,2437,78.6,799,1834,43.6,303,820,37,399,585,68.2,174,5.6,460,412,1.12,97,3.1,1094,35.3,1210,39,-3.7
Delaware St.,24-May,5,24,17.2,1828,63,2229,76.9,648,1827,35.5,221,743,29.7,311,456,68.2,200,6.9,308,413,0.75,62,2.1,1063,36.7,1215,41.9,-5.2
UIC,16-16,16,16,50,2391,74.7,2385,74.5,865,1883,45.9,303,856,35.4,358,525,68.2,210,6.6,478,460,1.04,124,3.9,1106,34.6,1181,36.9,-2.3
East Carolina,19-Oct,10,19,34.5,1958,67.5,2144,73.9,703,1687,41.7,143,513,27.9,409,600,68.2,217,7.5,355,392,0.91,105,3.6,1006,34.7,1080,37.2,-2.6
UMBC,19-12,19,12,61.3,2095,67.6,1972,63.6,752,1732,43.4,242,739,32.7,349,512,68.2,244,7.9,414,392,1.06,74,2.4,1045,33.7,1038,33.5,0.2
West Virginia,18-Dec,12,18,40,2185,72.8,2296,76.5,729,1764,41.3,218,699,31.2,509,747,68.1,188,6.3,391,486,0.8,108,3.6,1176,39.2,1042,34.7,4.5
Rice,13-17,13,17,43.3,2232,74.4,2321,77.4,753,1757,42.9,262,751,34.9,464,681,68.1,155,5.2,400,410,0.98,101,3.4,1157,38.6,1096,36.5,2
UConn,14-16,14,16,46.7,2229,74.3,2124,70.8,805,1811,44.5,230,667,34.5,389,571,68.1,188,6.3,379,388,0.98,133,4.4,1077,35.9,1041,34.7,1.2
Syracuse,19-11,19,11,63.3,2101,70,1958,65.3,721,1703,42.3,235,728,32.3,424,623,68.1,246,8.2,367,363,1.01,145,4.8,1055,35.2,1107,36.9,-1.7
Montana,22-8,22,8,73.3,2299,76.6,2071,69,837,1698,49.3,244,649,37.6,381,560,68,191,6.4,432,361,1.2,88,2.9,1016,33.9,932,31.1,2.8
Fordham,18-Dec,12,18,40,2001,66.7,2017,67.2,718,1771,40.5,263,788,33.4,302,444,68,180,6,343,325,1.06,97,3.2,1006,33.5,1114,37.1,-3.6
South Carolina,15-15,15,15,50,2197,73.2,2197,73.2,766,1804,42.5,227,621,36.6,438,644,68,186,6.2,393,406,0.97,136,4.5,1086,36.2,1101,36.7,-0.5
Middle Tenn.,20-Oct,10,20,33.3,2032,67.7,2196,73.2,738,1749,42.2,197,599,32.9,359,528,68,182,6.1,330,484,0.68,79,2.6,1153,38.4,1049,35,3.5
Mt. St. Mary's,22-Sep,9,22,29,2092,67.5,2286,73.7,733,1755,41.8,223,723,30.8,403,594,67.8,146,4.7,354,410,0.86,107,3.5,1036,33.4,1148,37,-3.6
Vanderbilt,21-Sep,9,21,30,2069,69,2166,72.2,696,1648,42.2,218,694,31.4,459,677,67.8,136,4.5,358,431,0.83,121,4,1080,36,1060,35.3,0.7
Houston Baptist,16-Dec,12,16,42.9,2317,82.8,2327,83.1,817,1769,46.2,184,544,33.8,499,736,67.8,221,7.9,419,426,0.98,52,1.9,1076,38.4,965,34.5,4
New Mexico St.,26-4,26,4,86.7,2328,77.6,1940,64.7,819,1798,45.6,267,821,32.5,423,624,67.8,178,5.9,436,363,1.2,75,2.5,1142,38.1,864,28.8,9.3
Ark.-Pine Bluff,18-Dec,12,18,40,1965,65.5,2153,71.8,666,1567,42.5,181,538,33.6,452,667,67.8,201,6.7,348,458,0.76,100,3.3,995,33.2,1016,33.9,-0.7
Minnesota,19-12,19,12,61.3,2206,71.2,2131,68.7,766,1757,43.6,168,518,32.4,506,747,67.7,152,4.9,454,381,1.19,129,4.2,1164,37.5,1060,34.2,3.4
St. Francis Brooklyn,17-15,17,15,53.1,2273,71,2239,70,814,1926,42.3,259,777,33.3,386,570,67.7,189,5.9,369,403,0.92,129,4,1163,36.3,1195,37.3,-1
High Point,16-15,16,15,51.6,2115,68.2,2105,67.9,763,1719,44.4,180,583,30.9,409,604,67.7,170,5.5,404,406,1,91,2.9,1183,38.2,970,31.3,6.9
Jacksonville,20-Dec,12,20,37.5,2385,74.5,2402,75.1,889,1954,45.5,213,645,33,394,582,67.7,213,6.7,457,463,0.99,166,5.2,1165,36.4,1141,35.7,0.8
Grambling,15-15,15,15,50,2157,71.9,2071,69,741,1640,45.2,200,496,40.3,475,702,67.7,181,6,374,478,0.78,132,4.4,1143,38.1,1114,37.1,1
Charleston So.,17-15,17,15,53.1,2439,76.2,2230,69.7,871,2032,42.9,317,901,35.2,380,562,67.6,252,7.9,459,414,1.11,106,3.3,1200,37.5,1156,36.1,1.4
Stanford,15-15,15,15,50,2183,72.8,2148,71.6,781,1707,45.8,200,628,31.8,421,623,67.6,179,6,381,457,0.83,138,4.6,1100,36.7,1032,34.4,2.3
South Alabama,14-16,14,16,46.7,2188,72.9,2179,72.6,770,1678,45.9,246,678,36.3,402,595,67.6,182,6.1,417,398,1.05,126,4.2,967,32.2,1061,35.4,-3.1
Western Caro.,25-Jul,7,25,21.9,2304,72,2563,80.1,792,1744,45.4,296,800,37,424,628,67.5,135,4.2,389,583,0.67,53,1.7,1135,35.5,1033,32.3,3.2
UMES,24-Jul,7,24,22.6,1779,57.4,2228,71.9,645,1649,39.1,166,583,28.5,323,479,67.4,178,5.7,352,422,0.83,70,2.3,962,31,1152,37.2,-6.1
Alabama,17-13,17,13,56.7,2182,72.7,2141,71.4,761,1704,44.7,212,629,33.7,448,665,67.4,134,4.5,372,407,0.91,145,4.8,1122,37.4,1028,34.3,3.1
Baylor,19-11,19,11,63.3,2157,71.9,1989,66.3,767,1729,44.4,239,692,34.5,384,570,67.4,186,6.2,424,398,1.07,144,4.8,1138,37.9,940,31.3,6.6
Northwestern St.,19-Nov,11,19,36.7,1988,66.3,2210,73.7,705,1724,40.9,186,624,29.8,392,582,67.4,186,6.2,332,488,0.68,134,4.5,1067,35.6,1163,38.8,-3.2
Air Force,13-16,13,16,44.8,1990,68.6,2082,71.8,736,1616,45.5,211,632,33.4,307,456,67.3,142,4.9,389,385,1.01,51,1.8,976,33.7,973,33.6,0.1
Bowling Green,20-11,20,11,64.5,2425,78.2,2256,72.8,857,1944,44.1,248,697,35.6,463,688,67.3,211,6.8,400,377,1.06,83,2.7,1279,41.3,1115,36,5.3
Texas Southern,19-11,19,11,63.3,2396,79.9,2330,77.7,828,1862,44.5,226,701,32.2,514,764,67.3,241,8,458,453,1.01,90,3,1171,39,1161,38.7,0.3
