team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
ad24b724-a11c-4dcd-a68c-67c53833ccb7,Tribe,171,13,17,0.447,0.5166,0.4992
0b73b9b9-1e29-4b14-b5d8-0405fe942e32,Broncs,172,16,15,0.5481,0.4825,0.4989
150148c2-ca8f-414f-8f41-d94a55d4a122,Fighting Illini,173,11,20,0.2932,0.5668,0.4984
10f450ce-143b-4e46-8bfe-52c644b68b07,Mean Green,174,17,11,0.6111,0.4601,0.4979
efba5350-79bc-47aa-a189-db177b95b491,Huskies,175,15,16,0.408,0.5275,0.4976
88ff8c00-958e-4ccf-a21d-77fab9e93692,Big Red,176,13,15,0.5081,0.493,0.4968
80962f09-8821-48b6-8cf0-0cf0eea56aa8,Fighting Irish,177,14,18,0.3623,0.5412,0.4965
56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,Zips,178,15,15,0.4649,0.5059,0.4956
b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Braves,179,19,14,0.5686,0.4708,0.4952
c009914b-3303-4dee-b915-978aa48a31d0,Titans,180,12,16,0.4576,0.5072,0.4948
0113eea0-c943-4fff-9780-ae0fb099e7ef,Golden Griffins,181,15,17,0.477,0.4983,0.493
4f4b0771-994c-4126-822d-7525aaa00f65,Bulldogs,182,11,20,0.3007,0.5569,0.4929
2a997096-a381-469d-a7e9-9e031c8b071c,Sycamores,183,13,16,0.4504,0.5069,0.4928
24051034-96bb-4f78-a3a6-312f3258780f,Panthers,184,14,18,0.3692,0.5338,0.4927
509aacc4-c121-46a2-800a-d5431ef181d2,Redbirds,185,16,16,0.4769,0.4975,0.4923
3f0ac618-3742-471a-9d1f-03e08f3deca2,Huskies,186,14,16,0.4638,0.5009,0.4916
255c2a87-40c0-4989-bbb9-d286aac5d28e,Gaels,187,17,15,0.5563,0.4692,0.491
aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,Saints,188,17,16,0.521,0.4807,0.4908
4fbebf0a-e117-4a0c-8f15-c247535a2a1b,Demon Deacons,188,11,20,0.2993,0.5546,0.4908
32755362-6336-4dd3-ac34-6f72a6cc150b,Retrievers,190,18,12,0.6029,0.4522,0.4899
b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,Knights,191,18,13,0.5985,0.453,0.4894
6e5dfe2c-28cc-411f-b846-af8436093ab2,Fighting Camels,192,17,12,0.5878,0.4565,0.4893
c9570e17-c4fd-41e6-908a-1a083941319d,Tigers,193,12,18,0.4,0.519,0.4892
f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Hawks,193,13,18,0.374,0.5276,0.4892
a8f75c12-c4db-401f-99e3-b48209d85274,Spartans,195,16,12,0.6154,0.4462,0.4885
2da57857-b038-4ad3-8199-e3fb339f57d2,Roadrunners,196,13,14,0.5122,0.4801,0.4881
4743cb7c-784a-4b95-a380-5471f92f2217,Wildcats,197,15,14,0.5111,0.4802,0.488
53aaac6a-796e-41a6-a04e-6ce74c5717f8,Aggies,198,16,12,0.6333,0.4392,0.4877
54df21af-8f65-42fc-bc01-8bf750856d70,Eagles,199,13,17,0.4508,0.4998,0.4876
4b7dedc0-7b48-49a4-aad6-8a94a33274d2,Wildcats,200,13,18,0.3481,0.5337,0.4873
4af63ebd-d3c8-4772-bbde-938a078bd057,Chanticleers,201,13,15,0.4919,0.4857,0.4872
b83de2df-328f-4303-9895-cdff048fb1ed,Bears,202,15,16,0.4815,0.4881,0.4864
c851131a-5ecd-4670-81bc-b40f4837dd65,Owls,203,14,14,0.5224,0.4739,0.486
bb384635-c3a0-459a-8f13-fcd7177313e5,Owls,204,11,18,0.374,0.5207,0.484
5326c079-3dc3-468f-a601-b776dd9c1e62,Eagles,205,12,18,0.4,0.5107,0.483
3d2f0819-8f3b-4ff3-afd6-6227c469a751,Blue Raiders,206,9,20,0.2846,0.5489,0.4828
a43197e1-de68-41cf-bd75-88c695738601,Lancers,207,12,14,0.4928,0.4791,0.4825
11a617d5-af03-4cce-bc8a-51114d9e41fe,49ers,208,12,18,0.4154,0.5037,0.4816
17479d6f-c8f1-458b-9412-8c76279a2bb4,Waves,209,15,18,0.4468,0.4931,0.4815
0affc15f-641d-4211-970d-fb9fb8d36842,Fightin Blue Hens,210,15,16,0.4902,0.4781,0.4811
28023973-1d9d-4d01-b939-dc8f9b44fb1c,Broncos,211,15,15,0.4643,0.4856,0.4803
b06b63b0-20e6-4c78-bdcf-5feac3d7995e,Blue Hose,212,15,15,0.5391,0.4595,0.4794
1b1977ec-b32f-4ce3-95a4-d07bab4816cd,Lobos,212,12,17,0.3721,0.5151,0.4794
ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,Blue Demons,214,15,14,0.4634,0.4843,0.4791
7e100f63-0b32-49f6-a954-f5b7c8cf48ad,Redhawks,215,16,13,0.5203,0.4652,0.479
e7ff6d5c-07e9-42af-955d-0a0b8c1e2288,Privateers,216,13,12,0.5514,0.4536,0.4781
3db7336c-c18a-441b-912e-e2a4408f12ea,Hawks,217,14,21,0.4172,0.4979,0.4777
c13f96ba-c79c-452f-9f63-3b45fae4e543,Bulldogs,218,16,16,0.4861,0.474,0.4771
d4dc55b3-94fe-4d4f-b0bf-c50c5f064392,Warriors,219,16,12,0.5238,0.461,0.4767
aeaaef0d-5238-414e-ac04-c55a22cba208,Golden Grizzlies,220,15,17,0.4726,0.4758,0.475
3b088563-ca8a-49a6-9e19-5e4cb186ae1d,Midshipmen,221,12,19,0.391,0.5026,0.4747
dfe0d93f-94a5-47fb-b7aa-f74786e09acb,Flames,222,14,16,0.4754,0.4729,0.4736
22984593-0701-4648-b8a8-f6d695238620,Mastodons,223,15,15,0.5145,0.4567,0.4711
bec40585-b587-4548-93f5-b7c00b046aea,Bobcats,224,13,16,0.4711,0.4706,0.4707
1a470730-f328-4fb1-8bbf-36a069e4d6b2,Rams,225,11,19,0.3264,0.5179,0.47
aa7af640-5762-4686-9181-39f7b8a8186e,Falcons,226,12,17,0.3876,0.4964,0.4692
a3fef707-e4fc-48a0-82f1-f4ef01b76f45,Buccaneers,227,13,15,0.4836,0.4629,0.4681
72971b77-1d35-40b3-bb63-4c5b29f3d22b,Commodores,228,9,22,0.223,0.5492,0.4677
55cd5bb4-b030-4a7a-9652-6cebaf81c574,Lions,229,14,15,0.5109,0.453,0.4675
95826e36-ea33-4b51-83a8-7b4cc20999ee,Red Wolves,230,11,19,0.3583,0.503,0.4668
e19cfc47-f23f-4c64-ba29-2e6d12dc45b2,Terriers,231,15,15,0.5391,0.4418,0.4661
c1c54dbf-805c-47fc-a707-c803e94db2a4,Broncos,232,11,19,0.3456,0.5048,0.465
6906e22d-92fa-40cb-8c05-ec8391ac1979,Colonials,233,15,16,0.52,0.4457,0.4643
b7747a03-c85b-4de6-94bf-1b5b68553248,Eagles,234,11,20,0.3655,0.4968,0.464
1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,Titans,235,11,20,0.3684,0.4952,0.4635
