team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Akron,Zips,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,32,6475.0,793,1824,973,488,6475.0,0.502,305,851,0.358,20,405,582,0.696,249,711,960,418,440,0.95,189,81,639,13,2296,95,2,430,295,0,1,808,2296,2080.08,0.552,2.97,13.44,9.22,202.3,71.8,7.78,22.22,30.0,13.1,5.91,2.53,13.75,19.97,0.06,0.63,24.78,57.0,9.53,26.59,12.66,18.19,15.25,30.41,25.25,71.75,65.0
Bowling Green,Falcons,a9e4d292-d074-40e7-a81a-f9342929b979,32,6525.0,827,1963,1273,586,6525.0,0.46,241,690,0.349,2,534,730,0.732,309,813,1122,425,408,1.04,189,82,569,6,2429,250,0,441,353,0,2,966,2507,2284.2,0.532,7.81,13.78,11.03,203.9,75.9,9.66,25.41,35.06,13.3,5.91,2.56,12.75,17.78,0.0,0.06,25.84,61.34,7.53,21.56,16.69,22.81,18.31,39.78,30.19,78.34,71.38
Buffalo,Bulls,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,36,7275.0,1105,2334,1386,754,7275.0,0.544,351,948,0.37,48,486,695,0.699,368,894,1262,597,447,1.34,224,146,757,5,3047,361,0,599,460,0,5,1308,3391,2639.8,0.577,10.03,16.64,12.78,202.1,84.6,10.22,24.83,35.06,16.6,6.22,4.06,12.42,21.03,0.0,1.33,30.69,64.83,9.75,26.33,13.5,19.31,20.94,38.5,36.33,94.19,73.33
Western Michigan,Broncos,f2164f01-2cbc-4967-bb1c-93656d790921,32,6425.0,845,1926,1248,612,6425.0,0.49,233,678,0.344,14,479,659,0.727,309,727,1036,405,342,1.18,209,100,559,7,2402,178,0,522,356,0,2,956,2549,2215.96,0.542,5.56,16.31,11.13,200.8,75.1,9.66,22.72,32.38,12.7,6.53,3.13,10.69,17.47,0.0,0.44,26.41,60.19,7.28,21.19,14.97,20.59,19.13,39.0,29.88,79.66,69.25
Purdue,Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95,37,7425.0,1033,2097,1257,680,7425.0,0.541,353,840,0.42,93,555,747,0.743,268,917,1185,598,399,1.5,211,180,580,3,2974,158,0,541,366,0,3,1076,3493,2425.68,0.613,4.27,14.62,9.89,200.7,80.4,7.24,24.78,32.03,16.2,5.7,4.86,10.78,15.68,0.0,2.51,27.92,56.68,9.54,22.7,15.0,20.19,18.38,33.97,29.08,94.41,65.56
Illinois,Fighting Illini,150148c2-ca8f-414f-8f41-d94a55d4a122,32,6475.0,856,1949,1244,620,6475.0,0.498,236,705,0.335,138,478,653,0.732,339,630,969,442,427,1.04,240,69,721,6,2426,179,0,603,354,0,18,958,2451,2236.32,0.542,5.59,18.84,11.06,202.3,75.8,10.59,19.69,30.28,13.8,7.5,2.16,13.34,22.53,0.0,4.31,26.75,60.91,7.38,22.03,14.94,20.41,19.38,38.88,29.94,76.59,69.89
Maryland,Terrapins,2778d005-cc14-4e58-9bf2-3fc37bffb62f,32,6425.0,811,1696,1079,582,6425.0,0.539,229,617,0.371,107,487,645,0.755,258,791,1049,452,438,1.03,139,137,513,3,2338,173,0,414,331,0,4,1041,2634,1979.8,0.59,5.41,12.94,10.34,200.8,73.1,8.06,24.72,32.78,14.1,4.34,4.28,13.69,16.03,0.0,3.34,25.34,53.0,7.16,19.28,15.22,20.16,18.19,33.72,32.53,82.31,61.87
Penn State,Nittany Lions,4aebd148-8119-4875-954c-66779867989b,39,7850.0,1057,2291,1532,763,7850.0,0.498,294,759,0.387,135,507,722,0.702,363,910,1273,541,462,1.17,282,193,686,5,2915,259,0,614,447,0,12,1254,3293,2608.68,0.559,6.64,15.74,11.46,201.3,74.7,9.31,23.33,32.64,13.9,7.23,4.95,11.85,17.59,0.0,3.46,27.1,58.74,7.54,19.46,13.0,18.51,19.56,39.28,32.15,84.44,66.89
Northwestern,Wildcats,4b7dedc0-7b48-49a4-aad6-8a94a33274d2,32,6450.0,773,1813,1093,518,6450.0,0.474,255,720,0.354,100,402,538,0.747,270,689,959,448,374,1.2,156,136,606,4,2203,149,1,440,312,0,12,812,2352,2049.72,0.537,4.66,13.75,9.75,201.6,68.8,8.44,21.53,29.97,14.0,4.88,4.25,11.69,18.94,0.03,3.13,24.16,56.66,7.97,22.5,12.56,16.81,16.19,34.16,25.38,73.5,64.05
Ohio State,Buckeyes,857462b3-0ab6-4d26-9669-10ca354e382b,34,6875.0,951,1980,1302,712,6875.0,0.547,239,678,0.353,86,450,616,0.731,296,861,1157,499,399,1.25,209,132,597,5,2591,218,1,505,376,0,17,1190,2994,2251.04,0.576,6.41,14.85,11.06,202.2,76.2,8.71,25.32,34.03,14.7,6.15,3.88,11.74,17.56,0.03,2.53,27.97,58.24,7.03,19.94,13.24,18.12,20.94,38.29,35.0,88.06,66.21
