 


  
  

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2019


"Rank","Name","GM","W-L","PTS","PPG"
"265","Ohio St.","30","18-12","2082","69.4"
"","Notre Dame","30","13-17","2082","69.4"
"267","Stetson","31","7-24","2151","69.4"
"268","UMKC","30","10-20","2080","69.3"
"269","Robert Morris","32","17-15","2218","69.3"
"270","Indiana St.","31","15-16","2146","69.2"
"","Milwaukee","31","9-22","2146","69.2"
"272","Akron","31","16-15","2145","69.2"
"273","UT Arlington","30","15-15","2072","69.1"
"274","California","30","8-22","2070","69.0"
"275","Vanderbilt","30","9-21","2069","69.0"
"276","Missouri St.","32","16-16","2206","68.9"
"277","Rhode Island","29","15-14","1997","68.9"
"278","Cornell","29","14-15","1994","68.8"
"279","Florida","30","17-13","2060","68.7"
"280","Wake Forest","29","11-18","1991","68.7"
"281","Air Force","29","13-16","1990","68.6"
"282","Southern Ill.","32","17-15","2194","68.6"
"283","Illinois St.","33","17-16","2257","68.4"
"284","High Point","31","16-15","2115","68.2"
"","Santa Clara","31","16-15","2115","68.2"
"286","Rutgers","29","14-15","1971","68.0"
"287","Tennessee Tech","31","8-23","2104","67.9"
"288","Idaho","30","5-25","2035","67.8"
"289","USC Upstate","32","6-26","2169","67.8"
"290","Saint Louis","30","19-11","2033","67.8"
"291","Middle Tenn.","30","10-20","2032","67.7"
"292","La Salle","29","9-20","1962","67.7"
"293","Towson","31","10-21","2097","67.6"
"294","Albany (NY)","31","12-19","2096","67.6"
"295","UMBC","31","19-12","2095","67.6"
"296","Alabama St.","28","11-17","1892","67.6"
"297","Loyola Marymount","31","20-11","2094","67.5"
"298","East Carolina","29","10-19","1958","67.5"
"299","Mt. St. Mary's","31","9-22","2092","67.5"
"300","Oklahoma St.","30","11-19","2023","67.4"
"301","Old Dominion","30","23-7","2020","67.3"
"302","Bradley","32","18-14","2154","67.3"
"303","Marist","31","12-19","2086","67.3"
"304","Southeastern La.","30","16-14","2016","67.2"
"305","Holy Cross","33","16-17","2216","67.2"
"306","Missouri","29","14-15","1940","66.9"
