team_id,season,team_name,team_mascot,seed,total_wins,total_losses,total_games_played,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
12d7f888-675b-459f-9099-a38f771d8a95,2017,Purdue,Boilermakers,E2,30,7,37,0.8024,0.559,0.6199,7425,1033,2097,1257,680,7425,0.541,353,840,0.42,93,555,747,0.743,268,917,1185,598,399,1.5,211,180,580,3,2974,158,0,541,366,0,3,1076,3493,2425.68,0.613,4.27,14.62,9.89,200.7,80.4,7.24,24.78,32.03,16.2,5.7,4.86,10.78,15.68,0,2.51,27.92,56.68,9.54,22.7,15,20.19,18.38,33.97,29.08,94.41,65.56
857462b3-0ab6-4d26-9669-10ca354e382b,2017,Ohio State,Buckeyes,W5,25,9,34,0.7,0.5748,0.6061,6875,951,1980,1302,712,6875,0.547,239,678,0.353,86,450,616,0.731,296,861,1157,499,399,1.25,209,132,597,5,2591,218,1,505,376,0,17,1190,2994,2251.04,0.576,6.41,14.85,11.06,202.2,76.2,8.71,25.32,34.03,14.7,6.15,3.88,11.74,17.56,0.03,2.53,27.97,58.24,7.03,19.94,13.24,18.12,20.94,38.29,35,88.06,66.21
a41d5a05-4c11-4171-a57e-e7a1ea325a6d,2017,Michigan State,Spartans,M3,30,5,35,0.8428,0.5367,0.6132,7025,991,1996,1271,701,7025,0.552,290,725,0.4,89,535,716,0.747,365,989,1354,670,459,1.46,143,251,641,8,2807,275,1,378,452,0,14,1136,3580,2311.04,0.607,7.86,10.8,12.91,200.7,80.2,10.43,28.26,38.69,19.1,4.09,7.17,13.11,18.31,0.03,2.54,28.31,57.03,8.29,20.71,15.29,20.46,20.03,36.31,32.46,102.29,66.03
bdc2561d-f603-4fab-a262-f1d2af462277,2017,Michigan,Wolverines,W3,32,8,41,0.8161,0.5602,0.6242,8275,1092,2335,1324,731,8275,0.552,361,1011,0.357,127,474,717,0.661,303,980,1283,585,380,1.54,261,126,644,2,3019,294,1,611,415,0,9,1292,3408,2650.48,0.57,7.17,14.9,10.12,201.8,73.6,7.39,23.9,31.29,14.3,6.37,3.07,9.27,15.71,0.02,3.1,26.63,56.95,8.8,24.66,11.56,17.49,17.83,32.29,31.51,83.12,64.65
32755362-6336-4dd3-ac34-6f72a6cc150b,2017,UMBC,Retrievers,S16,22,11,36,0.698,0.4728,0.5291,7200,926,2088,1148,562,7200,0.49,364,940,0.387,14,414,641,0.646,281,837,1118,547,439,1.25,269,87,592,2,2630,158,0,558,342,0,3,900,2823,2370.04,0.555,4.39,15.5,9.5,200,73.1,7.81,23.25,31.06,15.2,7.47,2.42,12.19,16.44,0,0.39,25.72,58,10.11,26.11,11.5,17.81,15.61,31.89,25,78.42,65.83
e6c94452-1adf-4fb9-90e5-10f165c57c5a,2017,Pennsylvania,Quakers,M16,23,9,33,0.7244,0.4669,0.5313,6775,893,1948,1118,602,6775,0.538,291,830,0.351,20,429,651,0.659,239,888,1127,508,391,1.3,194,92,566,6,2506,177,0,406,249,0,0,1098,2759,2234.44,0.561,5.36,12.3,7.55,205.3,75.9,7.24,26.91,34.15,15.4,5.88,2.79,11.85,17.15,0,0.61,27.06,59.03,8.82,25.15,13,19.73,18.24,33.88,33.27,83.61,67.71
8548dacb-3636-48a8-8c46-611ab0c15fc0,2017,Charleston,Cougars,M13,24,8,34,0.7941,0.4796,0.5582,6925,875,1904,1184,616,6925,0.52,259,720,0.36,22,527,699,0.754,249,797,1046,387,339,1.14,177,119,563,9,2536,251,0,474,298,0,1,1056,2725,2211.56,0.573,7.38,13.94,8.76,203.7,74.6,7.32,23.44,30.76,11.4,5.21,3.5,9.97,16.56,0,0.65,25.74,56,7.62,21.18,15.5,20.56,18.12,34.82,31.06,80.15,65.05
2f4d21f8-6d5f-48a5-abca-52a30583871a,2017,Gonzaga,Bulldogs,W4,32,5,37,0.8571,0.5235,0.6069,7500,1125,2261,1370,797,7500,0.582,328,891,0.368,100,513,725,0.708,352,984,1336,564,420,1.34,234,134,632,2,3091,254,2,562,511,0,14,1400,3591,2580,0.599,6.86,15.19,13.81,202.7,83.5,9.51,26.59,36.11,15.2,6.32,3.62,11.35,17.08,0.05,2.7,30.41,61.11,8.86,24.08,13.86,19.59,21.54,37.03,37.84,97.05,69.73
0d8a328f-20ce-410b-bed1-15fc01308aaf,2017,Xavier,Musketeers,W1,29,6,35,0.8217,0.5723,0.6346,7075,1011,2055,1319,737,7075,0.559,274,736,0.372,127,657,843,0.779,295,947,1242,579,441,1.31,205,109,603,7,2953,360,1,495,398,0,8,1296,3417,2425.92,0.609,10.29,14.14,11.37,202.1,84.4,8.43,27.06,35.49,16.5,5.86,3.11,12.6,17.23,0.03,3.63,28.89,58.71,7.83,21.03,18.77,24.09,21.06,37.69,37.03,97.63,69.31
4383eb6a-7fd8-4ff2-94c5-43c933121e88,2017,Villanova,Wildcats,E1,36,4,40,0.9158,0.5906,0.6719,8075,1220,2440,1282,756,8075,0.59,464,1158,0.401,108,559,718,0.779,337,997,1334,655,426,1.54,259,162,645,4,3463,363,1,650,417,0,8,1258,4068,2755.92,0.628,9.08,16.25,10.43,201.9,86.6,8.43,24.93,33.35,16.4,6.48,4.05,10.65,16.13,0.03,2.7,30.5,61,11.6,28.95,13.98,17.95,18.9,32.05,31.45,101.7,68.9
